,snapped_at,price,market_cap,total_volume
0,2021-12-19 00:00:00 UTC,1311.36715818812,0.0,16855755.9953712
1,2021-12-20 00:00:00 UTC,1311.36715818812,0.0,16855755.9953712
2,2021-12-21 00:00:00 UTC,1899.33608520847,0.0,37775001.0880759
3,2021-12-22 00:00:00 UTC,1851.8101431819,0.0,29057854.9650525
4,2021-12-23 00:00:00 UTC,1723.9646808124,0.0,22267423.1052538
5,2021-12-24 00:00:00 UTC,2021.23224359651,250899120.994089,39161256.5962745
6,2021-12-25 00:00:00 UTC,2411.4324662163,291696216.105692,44204506.0115846
7,2021-12-26 00:00:00 UTC,2377.43047997685,289870267.042235,22991592.4739892
8,2021-12-27 00:00:00 UTC,2599.79974477666,322353541.834434,19067478.1525635
9,2021-12-28 00:00:00 UTC,3046.08870881308,393028284.157886,47665639.7852392
10,2021-12-29 00:00:00 UTC,2611.30387669079,348405448.052368,45718765.3664477
11,2021-12-30 00:00:00 UTC,2113.06788692293,286848081.114593,32479107.7375604
12,2021-12-31 00:00:00 UTC,2382.22105093731,332527619.80809,34809199.7532277
13,2022-01-01 00:00:00 UTC,2594.24993065583,375260778.846419,27051285.3506595
14,2022-01-02 00:00:00 UTC,2516.96961191201,372616117.72418,27978855.2936853
15,2022-01-03 00:00:00 UTC,2761.71429746773,418463086.405921,23545387.8882374
16,2022-01-04 00:00:00 UTC,2769.75932094027,431470894.564159,36291048.2807994
17,2022-01-05 00:00:00 UTC,3183.97238471079,512848442.70962,39906739.3427863
18,2022-01-06 00:00:00 UTC,2803.79387534459,449379462.447489,75044592.5114819
19,2022-01-07 00:00:00 UTC,3450.85823737931,584593557.993779,62136105.37976
20,2022-01-08 00:00:00 UTC,3196.90676301167,554322387.972133,69485927.0335917
21,2022-01-09 00:00:00 UTC,3223.64761939111,574527637.576222,39638079.8325878
22,2022-01-10 00:00:00 UTC,3158.80271682554,578231891.399048,27408667.7430582
23,2022-01-11 00:00:00 UTC,2515.95797551025,468932518.337119,94330440.0473167
24,2022-01-12 00:00:00 UTC,2371.44712717455,460233997.932882,39809079.5020063
25,2022-01-13 00:00:00 UTC,2131.90295791162,418753645.008553,33437989.7948572
26,2022-01-14 00:00:00 UTC,2637.52275983645,531995015.410035,37737547.6467957
27,2022-01-15 00:00:00 UTC,2829.79314402189,585316441.071341,29281185.5486572
28,2022-01-16 00:00:00 UTC,2615.9315526536693,555112397.6407448,16546352.026168555
29,2022-01-17 00:00:00 UTC,2062.2885583293464,453894726.43071496,40613971.1457308
